Model,TBS2102
Firmware Version,v1.23

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.0002
Sample Interval,1.6e-06
Filter Frequency,1e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,1
Label,
TIME,CH1
-1.589e-03,1.1
-1.587e-03,1.05
-1.586e-03,1.05
-1.584e-03,1.05
-1.582e-03,1
-1.581e-03,1
-1.579e-03,1
-1.578e-03,0.95
-1.576e-03,0.95
-1.574e-03,0.9
-1.573e-03,0.9
-1.571e-03,0.9
-1.570e-03,0.9
-1.568e-03,0.85
-1.566e-03,0.8
-1.565e-03,0.8
-1.563e-03,0.85
-1.562e-03,0.75
-1.560e-03,0.75
-1.558e-03,0.75
-1.557e-03,0.7
-1.555e-03,0.7
-1.554e-03,0.7
-1.552e-03,0.65
-1.550e-03,0.65
-1.549e-03,0.6
-1.547e-03,0.6
-1.546e-03,0.6
-1.544e-03,0.6
-1.542e-03,0.55
-1.541e-03,0.5
-1.539e-03,0.5
-1.538e-03,0.5
-1.536e-03,0.45
-1.534e-03,0.45
-1.533e-03,0.5
-1.531e-03,0.4
-1.530e-03,0.4
-1.528e-03,0.35
-1.526e-03,0.35
-1.525e-03,0.35
-1.523e-03,0.35
-1.522e-03,0.3
-1.520e-03,0.25
-1.518e-03,0.25
-1.517e-03,0.25
-1.515e-03,0.2
-1.514e-03,0.15
-1.512e-03,0.2
-1.510e-03,0.2
-1.509e-03,0.15
-1.507e-03,0.1
-1.506e-03,0.05
-1.504e-03,0.1
-1.502e-03,0
-1.501e-03,0
-1.499e-03,0.05
-1.498e-03,0
-1.496e-03,-0.05
-1.494e-03,-0.05
-1.493e-03,-0.05
-1.491e-03,-0.1
-1.490e-03,-0.15
-1.488e-03,-0.15
-1.486e-03,-0.15
-1.485e-03,-0.2
-1.483e-03,-0.2
-1.482e-03,-0.25
-1.480e-03,-0.25
-1.478e-03,-0.25
-1.477e-03,-0.25
-1.475e-03,-0.25
-1.474e-03,-0.35
-1.472e-03,-0.3
-1.470e-03,-0.35
-1.469e-03,-0.35
-1.467e-03,-0.4
-1.466e-03,-0.4
-1.464e-03,-0.4
-1.462e-03,-0.45
-1.461e-03,-0.5
-1.459e-03,-0.5
-1.458e-03,-0.55
-1.456e-03,-0.55
-1.454e-03,-0.5
-1.453e-03,-0.55
-1.451e-03,-0.6
-1.450e-03,-0.6
-1.448e-03,-0.65
-1.446e-03,-0.6
-1.445e-03,-0.65
-1.443e-03,-0.65
-1.442e-03,-0.7
-1.440e-03,-0.7
-1.438e-03,-0.75
-1.437e-03,-0.75
-1.435e-03,-0.75
-1.434e-03,-0.8
-1.432e-03,-0.8
-1.430e-03,-0.85
-1.429e-03,-0.85
-1.427e-03,-0.85
-1.426e-03,-0.9
-1.424e-03,-0.9
-1.422e-03,-0.95
-1.421e-03,-0.95
-1.419e-03,-0.95
-1.418e-03,-1
-1.416e-03,-1
-1.414e-03,-1
-1.413e-03,-1
-1.411e-03,-1.05
-1.410e-03,-1.1
-1.408e-03,-1.05
-1.406e-03,-1.1
-1.405e-03,-1.1
-1.403e-03,-1.15
-1.402e-03,-1.15
-1.400e-03,-1.15
-1.398e-03,-1.2
-1.397e-03,-1.2
-1.395e-03,-1.2
-1.394e-03,-1.25
-1.392e-03,-1.25
-1.390e-03,-1.3
-1.389e-03,-1.3
-1.387e-03,-1.3
-1.386e-03,-1.25
-1.384e-03,-1.3
-1.382e-03,-1.35
-1.381e-03,-1.4
-1.379e-03,-1.35
-1.378e-03,-1.4
-1.376e-03,-1.4
-1.374e-03,-1.4
-1.373e-03,-1.4
-1.371e-03,-1.45
-1.370e-03,-1.45
-1.368e-03,-1.45
-1.366e-03,-1.5
-1.365e-03,-1.5
-1.363e-03,-1.55
-1.362e-03,-1.55
-1.360e-03,-1.55
-1.358e-03,-1.55
-1.357e-03,-1.55
-1.355e-03,-1.55
-1.354e-03,-1.55
-1.352e-03,-1.6
-1.350e-03,-1.6
-1.349e-03,-1.6
-1.347e-03,-1.65
-1.346e-03,-1.6
-1.344e-03,-1.65
-1.342e-03,-1.65
-1.341e-03,-1.65
-1.339e-03,-1.65
-1.338e-03,-1.7
-1.336e-03,-1.7
-1.334e-03,-1.75
-1.333e-03,-1.7
-1.331e-03,-1.7
-1.330e-03,-1.75
-1.328e-03,-1.75
-1.326e-03,-1.75
-1.325e-03,-1.75
-1.323e-03,-1.75
-1.322e-03,-1.8
-1.320e-03,-1.8
-1.318e-03,-1.85
-1.317e-03,-1.85
-1.315e-03,-1.85
-1.314e-03,-1.8
-1.312e-03,-1.8
-1.310e-03,-1.8
-1.309e-03,-1.9
-1.307e-03,-1.85
-1.306e-03,-1.85
-1.304e-03,-1.9
-1.302e-03,-1.9
-1.301e-03,-1.9
-1.299e-03,-1.9
-1.298e-03,-1.9
-1.296e-03,-1.9
-1.294e-03,-1.95
-1.293e-03,-1.95
-1.291e-03,-1.9
-1.290e-03,-1.9
-1.288e-03,-1.95
-1.286e-03,-1.95
-1.285e-03,-1.95
-1.283e-03,-1.95
-1.282e-03,-1.95
-1.280e-03,-1.95
-1.278e-03,-1.95
-1.277e-03,-1.95
-1.275e-03,-2
-1.274e-03,-1.95
-1.272e-03,-2
-1.270e-03,-1.95
-1.269e-03,-2
-1.267e-03,-1.95
-1.266e-03,-2
-1.264e-03,-1.95
-1.262e-03,-2
-1.261e-03,-2
-1.259e-03,-2
-1.258e-03,-2
-1.256e-03,-2
-1.254e-03,-2
-1.253e-03,-2
-1.251e-03,-2
-1.250e-03,-2
-1.248e-03,-1.95
-1.246e-03,-2
-1.245e-03,-2
-1.243e-03,-2
-1.242e-03,-2
-1.240e-03,-2
-1.238e-03,-2
-1.237e-03,-1.95
-1.235e-03,-2
-1.234e-03,-1.95
-1.232e-03,-1.95
-1.230e-03,-2
-1.229e-03,-2
-1.227e-03,-1.95
-1.226e-03,-2
-1.224e-03,-1.95
-1.222e-03,-1.95
-1.221e-03,-2
-1.219e-03,-1.95
-1.218e-03,-1.9
-1.216e-03,-1.95
-1.214e-03,-1.9
-1.213e-03,-1.95
-1.211e-03,-1.95
-1.210e-03,-1.95
-1.208e-03,-1.9
-1.206e-03,-1.9
-1.205e-03,-1.9
-1.203e-03,-1.9
-1.202e-03,-1.9
-1.200e-03,-1.9
-1.198e-03,-1.85
-1.197e-03,-1.85
-1.195e-03,-1.85
-1.194e-03,-1.85
-1.192e-03,-1.85
-1.190e-03,-1.85
-1.189e-03,-1.85
-1.187e-03,-1.85
-1.186e-03,-1.8
-1.184e-03,-1.85
-1.182e-03,-1.8
-1.181e-03,-1.85
-1.179e-03,-1.8
-1.178e-03,-1.8
-1.176e-03,-1.75
-1.174e-03,-1.75
-1.173e-03,-1.75
-1.171e-03,-1.7
-1.170e-03,-1.75
-1.168e-03,-1.75
-1.166e-03,-1.75
-1.165e-03,-1.7
-1.163e-03,-1.7
-1.162e-03,-1.7
-1.160e-03,-1.7
-1.158e-03,-1.65
-1.157e-03,-1.65
-1.155e-03,-1.65
-1.154e-03,-1.65
-1.152e-03,-1.65
-1.150e-03,-1.65
-1.149e-03,-1.6
-1.147e-03,-1.55
-1.146e-03,-1.55
-1.144e-03,-1.55
-1.142e-03,-1.55
-1.141e-03,-1.5
-1.139e-03,-1.55
-1.138e-03,-1.5
-1.136e-03,-1.5
-1.134e-03,-1.5
-1.133e-03,-1.45
-1.131e-03,-1.45
-1.130e-03,-1.45
-1.128e-03,-1.4
-1.126e-03,-1.4
-1.125e-03,-1.4
-1.123e-03,-1.4
-1.122e-03,-1.35
-1.120e-03,-1.35
-1.118e-03,-1.35
-1.117e-03,-1.35
-1.115e-03,-1.3
-1.114e-03,-1.25
-1.112e-03,-1.3
-1.110e-03,-1.3
-1.109e-03,-1.25
-1.107e-03,-1.25
-1.106e-03,-1.2
-1.104e-03,-1.25
-1.102e-03,-1.2
-1.101e-03,-1.15
-1.099e-03,-1.15
-1.098e-03,-1.1
-1.096e-03,-1.1
-1.094e-03,-1.1
-1.093e-03,-1.1
-1.091e-03,-1.05
-1.090e-03,-1
-1.088e-03,-1
-1.086e-03,-1
-1.085e-03,-1
-1.083e-03,-0.95
-1.082e-03,-0.95
-1.080e-03,-0.95
-1.078e-03,-0.9
-1.077e-03,-0.9
-1.075e-03,-0.9
-1.074e-03,-0.85
-1.072e-03,-0.85
-1.070e-03,-0.85
-1.069e-03,-0.85
-1.067e-03,-0.8
-1.066e-03,-0.75
-1.064e-03,-0.75
-1.062e-03,-0.75
-1.061e-03,-0.75
-1.059e-03,-0.7
-1.058e-03,-0.65
-1.056e-03,-0.7
-1.054e-03,-0.65
-1.053e-03,-0.65
-1.051e-03,-0.6
-1.050e-03,-0.6
-1.048e-03,-0.55
-1.046e-03,-0.55
-1.045e-03,-0.55
-1.043e-03,-0.5
-1.042e-03,-0.5
-1.040e-03,-0.5
-1.038e-03,-0.45
-1.037e-03,-0.45
-1.035e-03,-0.4
-1.034e-03,-0.35
-1.032e-03,-0.4
-1.030e-03,-0.35
-1.029e-03,-0.35
-1.027e-03,-0.3
-1.026e-03,-0.3
-1.024e-03,-0.25
-1.022e-03,-0.25
-1.021e-03,-0.2
-1.019e-03,-0.25
-1.018e-03,-0.2
-1.016e-03,-0.15
-1.014e-03,-0.15
-1.013e-03,-0.1
-1.011e-03,-0.1
-1.010e-03,-0.05
-1.008e-03,-0.1
-1.006e-03,-0.05
-1.005e-03,0
-1.003e-03,0
-1.002e-03,0
-1.000e-03,0
-9.984e-04,0.05
-9.968e-04,0.1
-9.952e-04,0.1
-9.936e-04,0.1
